sample,inference_time_ms
0,9.406458999364986
1,8.74515000032261
2,8.061448999796994
3,7.765476000713534
4,7.805481000104919
5,7.832260000213864
6,8.11455599978217
7,7.818276999387308
8,8.022690999496263
9,7.98634700004186
10,8.00735499979055
11,8.251162000306067
12,8.248517000538413
13,8.24216500041075
14,7.982548000654788
15,8.141549000356463
16,8.197105998988263
17,8.310731000165106
18,8.226469000874204
19,7.753752001008252
20,7.67667999934929
21,7.46213900129078
22,7.446995999998762
23,7.4685149993456434
24,7.213988999865251
25,6.6811319993576035
26,6.225563000043621
27,5.88320300084888
28,5.161510000107228
29,5.814162999740802
30,5.354936000003363
31,5.437617001007311
32,5.605643998933374
33,9.269255999242887
34,10.26166799965722
35,9.764604999872972
36,9.256471999833593
37,10.378331999163493
38,10.012566999648698
39,6.781364998460049
40,6.600213000638178
41,6.544820998897194
42,6.464592001066194
43,6.026286999258446
44,6.251585999052622
45,6.386827000824269
46,7.14531999983592
47,7.988033001311123
48,6.461024000600446
49,6.1811520008632215
50,7.785689000229468
51,5.880933000298683
52,5.714079999961541
53,5.876113998965593
54,5.671328999596881
55,5.560362998949131
56,5.474462999700336
57,5.327817998477258
58,5.765984999015927
59,6.280958999923314
60,5.984620000162977
61,5.727011999624665
62,5.56615999994392
63,7.817989000614034
64,5.922072999965167
65,5.74098499964748
66,7.164983999246033
67,7.857024000259116
68,6.576907999260584
69,6.97152099928644
70,7.687924000492785
71,7.767099999909988
72,8.14576499942632
73,7.363339000221458
74,7.628720999491634
75,8.363089000340551
76,8.354753999810782
77,7.947753998450935
78,7.800457000485039
79,7.459159000063664
80,7.621475999258109
81,6.91322499915259
82,6.98450400159345
83,7.9460389988526
84,8.491821999996318
85,7.5136560008104425
86,8.177451998562901
87,7.530769000368309
88,7.50926500040805
89,7.526150999183301
90,6.727378000505269
91,6.979376999879605
92,6.901961998664774
93,6.990631000007852
94,7.146470999941812
95,7.355708999966737
96,7.121040000129142
97,6.8889009999111295
98,9.093617998587433
99,7.108186999175814
