,0,100,500,1000,1500,2000
0,0.0,31.761140948644886,12.682854325620733,20.728004082510758,18.518543397635355,32.66902350231749
100,31.761140948644886,0.0,26.844904441525347,31.9350413520505,25.52592535119627,11.91017740607731
500,12.682854325620733,26.844904441525347,0.0,19.985349071982732,12.06839062934132,25.040770808705126
1000,20.728004082510758,31.9350413520505,19.985349071982732,0.0,12.75604552604912,33.072844551126046
1500,18.518543397635355,25.52592535119627,12.06839062934132,12.75604552604912,0.0,24.483175013360896
2000,32.66902350231749,11.91017740607731,25.040770808705126,33.072844551126046,24.483175013360896,0.0
