feature_index,mi
166,0.8313903415195478
148,0.8238981063120383
81,0.8238011496656632
151,0.8231453634994799
129,0.822707148849257
222,0.8166003551847649
109,0.8152828929125864
248,0.8140648330953593
119,0.8012267870196237
38,0.7895538874895651
198,0.7830032144427022
40,0.7697958553696567
170,0.7662489728089767
190,0.7523438771218236
186,0.7504425998441693
135,0.749079307963167
30,0.7422794885335211
29,0.7422100579187694
59,0.7420911896962381
144,0.7333810599672499
227,0.7283183999533702
202,0.7271276613215034
154,0.7242663940458809
143,0.7117616719987572
128,0.7108473322419067
243,0.700718640982541
101,0.6991337598374532
133,0.6984528387307356
73,0.6974304717603741
6,0.6971817562814859
140,0.6947735319730088
8,0.6944312667108767
76,0.6942507063260601
163,0.6924019806390573
245,0.6919335257747457
23,0.6916818681833385
124,0.6838206638307414
142,0.6751966324267382
183,0.6734703632877532
49,0.660072182629817
177,0.6271217823068631
114,0.6039022908438048
79,0.5694144005953565
84,0.5649661141594122
104,0.5637165623467912
165,0.5552901861235666
242,0.5533669379252397
216,0.5466320436536689
57,0.5433358462410167
7,0.5401323404346585
99,0.5337475906882658
147,0.5165896234095557
152,0.4809626325791587
139,0.4671292572149506
54,0.4613045589157658
205,0.43931073979647994
161,0.42968638451732666
67,0.4201391230969058
27,0.4010470343147601
86,0.36964823893788346
61,0.3639329265067275
85,0.31270252505395524
225,0.3091882552424505
169,0.2919644472964751
