,precision,recall,f1-score,support
0,0.518910741301059,0.686,0.590869939707149,500.0
100,0.8579439252336448,0.918,0.8869565217391304,500.0
500,0.6116207951070336,0.4,0.4836759371221282,500.0
1000,0.6890380313199105,0.616,0.6504751847940866,500.0
1500,0.5612788632326821,0.632,0.5945437441204139,500.0
2000,0.9122055674518201,0.852,0.8810754912099276,500.0
accuracy,0.684,0.684,0.684,0.684
macro avg,0.6918329872743584,0.684,0.681266136448806,3000.0
weighted avg,0.6918329872743583,0.684,0.681266136448806,3000.0
