sample,cnn_time_ms
0,2.943239000160247
1,2.7966620000370312
2,2.7990939997835085
3,2.6862710001296364
4,2.689142002054723
5,2.68021800002316
6,2.6891260022239294
7,2.6789529983943794
8,2.6748560012492817
9,2.65036400014651
10,2.6647570011846256
11,2.6541920015006326
12,2.679113000340294
13,2.6546900007815566
14,2.647363999130903
15,2.6668939972296357
16,2.6862639970204327
17,2.67125300160842
18,2.6496200007386506
19,2.649222999025369
20,2.6676170018617995
21,2.6553520001471043
22,2.6490449999982957
23,2.6651799998944625
24,2.652794002642622
25,2.6612830006342847
26,2.6585369996610098
27,2.667223001481034
28,2.659560999745736
29,2.656046999618411
30,2.7018130022042897
31,2.66737799756811
32,2.706273000512738
33,2.701080000406364
34,3.1782900005055126
35,2.7139140001963824
36,2.6722120019258
37,2.6661310002964456
38,2.6672450003388803
39,2.631389997986844
40,2.628510002978146
41,2.623485001095105
42,2.647838002303615
43,2.6797850005095825
44,2.6678540016291663
45,2.649062000273261
46,2.6601370009302627
47,2.6622179975674953
48,2.660171998286387
49,2.681067999219522
50,2.655088999745203
51,2.6412810002511833
52,2.64602199968067
53,2.646168002684135
54,2.657736997207394
55,2.6532470001257025
56,2.647732999321306
57,2.6612559995555785
58,2.662026003235951
59,2.68102900008671
60,2.652277999004582
61,2.6544229986029677
62,2.651695998793002
63,2.658023000549292
64,2.6668490027077496
65,2.6593870024953503
66,2.6590670022414997
67,2.657197001099121
68,2.6649050014384557
69,2.6484019981580786
70,2.6946529978886247
71,2.6485960006539244
72,2.647818000696134
73,2.6401270006317645
74,2.6395640015834942
75,2.6508789997023996
76,2.6497670005483087
77,2.6526260007813107
78,2.6451500016264617
79,2.6503900007810444
80,2.643846000864869
81,2.658421999512939
82,2.648306002811296
83,2.6510730021982454
84,2.6465260016266257
85,2.655207998031983
86,2.6610550012264866
87,2.690525998332305
88,2.661376001924509
89,2.6609870001266245
90,2.665807001903886
91,2.6655559995560907
92,2.6604519989632536
93,2.6598869990266394
94,2.660008998645935
95,2.6541910010564607
96,2.659064000908984
97,2.65788799879374
98,2.652275001310045
99,2.658600002177991
