,precision,recall,f1-score,support
0,0.8617886178861789,0.848,0.8548387096774194,500.0
100,0.9347826086956522,0.946,0.9403578528827038,500.0
500,0.7617260787992496,0.812,0.7860600193610843,500.0
1000,0.7623762376237624,0.616,0.6814159292035398,500.0
1500,0.647985989492119,0.74,0.6909430438842203,500.0
2000,0.9473684210526315,0.936,0.9416498993963782,500.0
accuracy,0.8163333333333334,0.8163333333333334,0.8163333333333334,0.8163333333333334
macro avg,0.8193379922582656,0.8163333333333332,0.8158775757342243,3000.0
weighted avg,0.8193379922582656,0.8163333333333334,0.8158775757342243,3000.0
