,0,100,500,2000
0,0.0,21.520497894766706,11.352905483320262,24.70403131628931
100,21.520497894766706,0.0,21.634630271467397,16.402969843863
500,11.352905483320262,21.634630271467397,0.0,23.15144194086647
2000,24.70403131628931,16.402969843863,23.15144194086647,0.0
