sample,inference_time_ms
0,5.618248998871422
1,5.205682000450906
2,5.002568999771029
3,5.0945490002050065
4,5.13603699982923
5,4.978967999704764
6,5.239989000983769
7,5.282543999783229
8,5.22574199931114
9,5.318388000887353
10,5.387061999499565
11,5.39251800000784
12,5.183360999581055
13,4.644198999812943
14,4.599126999892178
15,4.5882159993198
16,4.68139500117104
17,4.593011999531882
18,4.5631880002474645
19,4.372932000478613
20,4.507679001108045
21,4.528859999481938
22,4.644276999897556
23,4.617976001100033
24,4.750207001052331
25,4.615648998878896
26,5.1881520012102555
27,5.1797139985865215
28,4.917121001199121
29,5.15972200082615
30,4.768525999679696
31,6.6513860001578
32,5.347049000192783
33,5.548015999011113
34,5.4151410004124045
35,5.495829000210506
36,5.299316999298753
37,5.197534001126769
38,5.236253999100882
39,5.237348999798996
40,5.338640999980271
41,5.27674699878844
42,5.382284000006621
43,5.311070999596268
44,5.246709999482846
45,5.1562400003604125
46,5.219409000346786
47,5.137264000950381
48,4.8493140002392465
49,4.915925999739557
50,4.9311629991279915
51,4.867744000875973
52,4.6566279997932725
53,4.538170998785063
54,4.510398999627796
55,4.706887999418541
56,4.6353520010598
57,4.41264199980651
58,4.665106000175001
59,4.750481999508338
60,4.771390000314568
61,4.788611999174464
62,4.92466399919067
63,4.792973000803613
64,4.670667000027606
65,4.553212000246276
66,4.539691000900348
67,4.587384000842576
68,4.584491998684825
69,4.616576999978861
70,4.622399999789195
71,4.825794001590111
72,4.536570000709617
73,4.614006000338122
74,4.66365499960375
75,4.696363999755704
76,4.946528000800754
77,4.952625000441913
78,5.079139000372379
79,5.094314999951166
80,5.220295999606606
81,4.807608000191976
82,4.878073001236771
83,4.724035001345328
84,4.677266999351559
85,4.735978000098839
86,4.76263999917137
87,4.773988001034013
88,4.65407399860851
89,4.578863999995519
90,4.584053000144195
91,4.498271000556997
92,4.53353699958825
93,4.50239000019792
94,4.579750999255339
95,4.647761001251638
96,4.583425999953761
97,4.503377000219189
98,4.571381999994628
99,4.528141000264441
