epoch,train_loss,val_loss,train_acc,val_acc
1,1.2538276933942523,0.8558043915430705,0.5633333333333334,0.684
2,0.6555855444045294,0.649021420955658,0.7539047619047619,0.7346666666666667
3,0.5506775442759196,0.6033767220973969,0.7831428571428571,0.7473333333333333
4,0.5120795824868338,0.5748214479287466,0.792,0.7526666666666667
5,0.48453899955749513,0.523051193634669,0.804952380952381,0.7826666666666666
6,0.4629484523591541,0.4958248395125071,0.8078095238095238,0.782
7,0.45811222862062,0.5062367408275604,0.8118095238095238,0.7793333333333333
8,0.4493724647249494,0.489915105342865,0.8206666666666667,0.7846666666666666
9,0.4348314768927438,0.47800063331921894,0.8257142857142857,0.7906666666666666
10,0.43376625524248397,0.47242867159843444,0.8222857142857143,0.7953333333333333
11,0.40947439606984454,0.4799377410809199,0.8345714285714285,0.7926666666666666
12,0.4132935924075899,0.44644818822542826,0.8262857142857143,0.8033333333333333
13,0.4167558655057635,0.4777274374961853,0.8280952380952381,0.7953333333333333
14,0.4050462151027861,0.4383640553156535,0.8333333333333334,0.808
15,0.4072440649214245,0.46022677167256676,0.8320952380952381,0.8006666666666666
16,0.3893143721535092,0.42233068283398945,0.839047619047619,0.808
17,0.3870821198508853,0.40546066880226134,0.8422857142857143,0.8246666666666667
18,0.38252535763240997,0.38960666592915855,0.8407619047619047,0.8286666666666667
19,0.37917599491845994,0.43786369144916537,0.845047619047619,0.8053333333333333
20,0.37947231819516136,0.5036086371739705,0.8498095238095238,0.7773333333333333
21,0.3706362317857288,0.40748886223634084,0.8485714285714285,0.8146666666666667
22,0.3631955488749913,0.4147972904841105,0.849047619047619,0.8186666666666667
23,0.36663453052157446,0.39686086905002593,0.8471428571428572,0.828
