,precision,recall,f1-score,support
0,0.93125,0.894,0.9122448979591836,500.0
100,0.9933628318584071,0.898,0.9432773109243697,500.0
500,0.7912087912087912,0.864,0.8260038240917782,500.0
1000,0.814621409921671,0.624,0.7066817667044167,500.0
1500,0.6745762711864407,0.796,0.7302752293577982,500.0
2000,0.9052823315118397,0.994,0.9475691134413727,500.0
accuracy,0.845,0.845,0.845,0.845
macro avg,0.8517169392811916,0.8450000000000001,0.8443420237464866,3000.0
weighted avg,0.8517169392811915,0.845,0.8443420237464866,3000.0
