epoch,train_loss,val_loss,train_acc,val_acc
1,1.602414318266369,1.2395509436925252,0.46295238095238095,0.6566666666666666
2,0.9891485036214193,0.8040655218760172,0.6490476190476191,0.6766666666666666
3,0.7047169294811431,0.6496818385124207,0.7294285714285714,0.7346666666666667
4,0.6198862609863282,0.6018505727450053,0.7512380952380953,0.7493333333333333
5,0.5770864703768775,0.5634551424980163,0.7647619047619048,0.7646666666666667
6,0.5408265937623523,0.5295842197736105,0.7828571428571428,0.776
7,0.5181824588775634,0.5342081842422486,0.7908571428571428,0.7766666666666666
8,0.5112584615434919,0.5451000991662344,0.7936190476190477,0.7693333333333333
9,0.49854174859183176,0.515012902021408,0.796952380952381,0.786
10,0.48585336049397787,0.4904114960829417,0.8051428571428572,0.7973333333333333
11,0.46948290234520323,0.47005038158098855,0.8119047619047619,0.8053333333333333
12,0.46337937196095785,0.4858643463452657,0.8128571428571428,0.802
13,0.4550001783825102,0.461087451616923,0.8125714285714286,0.812
14,0.44712742301395964,0.41076382811864215,0.8171428571428572,0.8246666666666667
15,0.4419980396997361,0.45228727074464165,0.8179047619047619,0.8126666666666666
16,0.44936062558492024,0.45469170033931733,0.8152380952380952,0.8093333333333333
17,0.4210229518981207,0.4357477897802989,0.827047619047619,0.8253333333333334
18,0.42954180544898624,0.42978356742858886,0.827047619047619,0.822
19,0.4332271322068714,0.39283932121594745,0.8206666666666667,0.8306666666666667
20,0.42175318066279094,0.3965396234591802,0.8252380952380952,0.832
21,0.40934186245146253,0.45510127675533296,0.8323809523809523,0.8206666666666667
22,0.4079817779631842,0.4155189734697342,0.8299047619047619,0.826
23,0.40710861855461483,0.41696423284212747,0.8343809523809523,0.8333333333333334
24,0.40764251441047306,0.40274234155813854,0.8322857142857143,0.8333333333333334
