sample,inference_time_ms
0,8.557631999792648
1,8.045568001762149
2,7.823793001080048
3,7.882425001298543
4,7.89001000157441
5,7.682690000365255
6,7.112917999620549
7,7.331442000577226
8,7.253763998960494
9,7.093575000908459
10,7.038393001494114
11,7.108534000508371
12,6.955005001145764
13,7.018391999736195
14,6.976280999879236
15,6.935671999599435
16,7.032825000351295
17,7.19532799848821
18,7.124927000404568
19,7.47830900036206
20,7.364095999946585
21,7.172168001488899
22,7.917520000773948
23,7.395668999379268
24,7.480041998860543
25,7.283467000888777
26,7.329059999392484
27,7.294453000213252
28,7.116729000699706
29,7.123678000425571
30,7.163652999224723
31,7.309685999643989
32,7.176541999797337
33,7.113476000085939
34,7.070636998832924
35,6.875583998407819
36,7.256729000800988
37,7.192269000370288
38,7.029311998849153
39,6.959538999581127
40,7.1456660007243045
41,7.075245999658364
42,6.992956001340644
43,7.018569000138086
44,7.189271000243025
45,6.947150999621954
46,6.971374999920954
47,7.061873999191448
48,7.013425998593448
49,7.070946001476841
50,7.061467000312405
51,7.065637000778224
52,7.223385999168386
53,7.1395689992641564
54,7.102554000084638
55,7.106503999239067
56,7.137554001019453
57,7.027129000562127
58,6.930618999831495
59,6.954555999982404
60,7.076863001202582
61,7.11740799852123
62,6.996152000283473
63,7.050270000036107
64,7.0284730009007035
65,7.178066000051331
66,7.097608999174554
67,7.201360998806194
68,7.10124299985182
69,7.143947999793454
70,6.975877000513719
71,7.040591999611934
72,7.016882998868823
73,6.989174000409548
74,6.812998000896187
75,6.868542999654892
76,6.96745599998394
77,7.218287999421591
78,7.055432000925066
79,7.180108999818913
80,6.954172000405379
81,7.19108200064511
82,7.203254999694764
83,7.1706229991832515
84,7.103788999302196
85,6.796251000196207
86,7.0014020002417965
87,7.0897120003792224
88,7.012768001004588
89,7.113450999895576
90,6.927497999640764
91,6.855756999357254
92,6.903654999405262
93,6.969320000280277
94,6.912799999554409
95,6.806580999182188
96,6.904237998242024
97,6.978405001063948
98,6.904441999722621
99,6.909555000675027
