,precision,recall,f1-score,support
0,0.9688249400479616,0.808,0.88113413304253,500.0
100,0.9956616052060737,0.918,0.9552549427679501,500.0
500,0.7743119266055046,0.844,0.8076555023923445,500.0
1000,0.7438202247191011,0.662,0.7005291005291006,500.0
1500,0.6509274873524452,0.772,0.7063129002744739,500.0
2000,0.9239332096474954,0.996,0.958614051973051,500.0
accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
macro avg,0.842913232263097,0.8333333333333334,0.8349167718299085,3000.0
weighted avg,0.842913232263097,0.8333333333333334,0.8349167718299083,3000.0
