sample,cnn_time_ms
0,6.42923000123119
1,6.221786999958567
2,5.904683999688132
3,5.895302998396801
4,5.868055999599164
5,5.8498960024735425
6,5.938949998380849
7,6.225244000233943
8,6.288354998105206
9,6.31204700039234
10,6.44749899947783
11,5.926048001128947
12,5.889511998248054
13,5.904065998038277
14,5.877240000700112
15,5.904695000936044
16,5.849028999364236
17,5.813780000607949
18,5.828132998431101
19,5.953681000391953
20,5.876478000573115
21,5.866207000508439
22,5.855040999449557
23,5.850470002769725
24,6.087842000852106
25,5.9386699977039825
26,5.839127003127942
27,5.831401998875663
28,5.833834002260119
29,5.93161199867609
30,5.921760999626713
31,5.821710001328029
32,5.852165999385761
33,5.812172999867471
34,5.926131001615431
35,5.9532270024647005
36,5.8741460015880875
37,5.833639999764273
38,5.812062001496088
39,5.831561000377405
40,5.843774000823032
41,5.860426001163432
42,5.867273001058493
43,5.938694997894345
44,6.144410999695538
45,5.837419001181843
46,5.837807999341749
47,5.836134998389753
48,5.848099001013907
49,5.831043999933172
50,5.8246920016244985
51,5.852012000104878
52,5.919136001466541
53,5.933035001362441
54,5.881593999220058
55,5.833827999595087
56,5.868668999028159
57,5.8591289998730645
58,5.919457998970756
59,5.999876997520914
60,5.842075999680674
61,5.860351000592345
62,5.837792999955127
63,5.837025000801077
64,5.937042998994002
65,5.877273000805872
66,5.846033000125317
67,5.824679999932414
68,5.8221159997629
69,5.8395300002302974
70,5.846268002642319
71,5.865181999979541
72,5.821636998007307
73,5.917995997151593
74,5.872370998986298
75,5.861473000550177
76,5.896053000469692
77,5.890598997211782
78,5.844531999173341
79,6.005758998071542
80,5.88137100203312
81,5.934347002039431
82,5.832112998177763
83,5.815783999423729
84,5.821552000270458
85,5.859806999069406
86,5.852798996784259
87,5.897504001040943
88,5.90517000091495
89,5.865911000000779
90,5.838850000145612
91,5.837305998284137
92,5.826712000271073
93,5.883624999114545
94,5.877420997421723
95,6.209975999809103
96,6.008207001286792
97,6.326142996840645
98,6.075500998122152
99,6.019757998728892
