sample,inference_time_ms
0,6.960642000194639
1,6.93334599964146
2,6.216370000402094
3,6.521945999338641
4,7.139970999560319
5,6.555497999215731
6,6.852997001260519
7,6.843343000582536
8,7.571946998723433
9,6.9591160008712905
10,6.39276299989433
11,6.733988999258145
12,6.67309100026614
13,7.046509999781847
14,6.769331999748829
15,6.444901000577374
16,6.587062998733018
17,6.954565000341972
18,6.538953000926995
19,6.896822000271641
20,6.548790999659104
21,6.902900999193662
22,7.160728999224375
23,6.989227000303799
24,6.469830999776605
25,6.730638999215444
26,7.184430000052089
27,6.8105419995845295
28,6.033842999386252
29,6.546755001181737
30,6.248461999348365
31,6.662276999122696
32,6.4578780002193525
33,6.2702020004508086
34,6.291277000855189
35,6.38668899955519
36,5.900529000427923
37,6.518931000755401
38,7.050633001199458
39,6.881919000079506
40,6.935823999810964
41,6.911731999935
42,6.932565998795326
43,6.814457001382834
44,6.083383001168841
45,6.053107001207536
46,6.0126959997433005
47,6.128144999820506
48,5.958360001386609
49,6.053237999367411
50,6.0238090009079315
51,5.923419001192087
52,6.063779001124203
53,6.124419000116177
54,6.7213380007160595
55,6.2813750009809155
56,6.026687999110436
57,5.715712000892381
58,5.801104000056512
59,5.937947998972959
60,6.131603999165236
61,6.234004000361892
62,5.998240001645172
63,6.05414399979054
64,6.107699999120086
65,5.902662000153214
66,6.4348719988629455
67,6.248366998988786
68,6.049029998393962
69,5.854209000972332
70,6.0614040012296755
71,6.596780998734175
72,6.5840719998959685
73,6.753378000212251
74,6.400476999260718
75,6.963964999158634
76,6.4963749991875375
77,6.564205999893602
78,7.361571999354055
79,6.947857000341173
80,7.1912090006662766
81,6.990347999817459
82,7.568020000690012
83,6.719996001265827
84,7.4772159987333
85,7.2104499995475635
86,6.5425150005467
87,6.615976000830415
88,6.626574999245349
89,7.076355001117918
90,7.269171999723767
91,6.481557998995413
92,6.860964000225067
93,6.3331940000352915
94,6.699120000121184
95,6.221966001248802
96,5.849933999343193
97,5.9754610010713805
98,7.4179490002279636
99,6.491641999673448
