,precision,recall,f1-score,support
0,0.9712918660287081,0.812,0.8845315904139434,500.0
100,0.9893162393162394,0.926,0.9566115702479339,500.0
500,0.7330097087378641,0.906,0.8103756708407871,500.0
1000,0.7914691943127962,0.668,0.7245119305856833,500.0
1500,0.6992619926199262,0.758,0.727447216890595,500.0
2000,0.9323308270676691,0.992,0.9612403100775194,500.0
accuracy,0.8436666666666667,0.8436666666666667,0.8436666666666667,0.8436666666666667
macro avg,0.8527799713472004,0.8436666666666667,0.8441197148427436,3000.0
weighted avg,0.8527799713472004,0.8436666666666667,0.8441197148427436,3000.0
