epoch,train_loss,val_loss,train_acc,val_acc
1,1.4930245186941964,1.167007080713908,0.48914285714285716,0.674
2,0.7860869794573103,0.7136553959846497,0.7284761904761905,0.7173333333333334
3,0.6066258573986235,0.6182880144119263,0.7727619047619048,0.7533333333333333
4,0.5328529094514393,0.6082379745642345,0.7955238095238095,0.758
5,0.4935056145985921,0.5133616425991059,0.8073333333333333,0.792
6,0.4605479550134568,0.4466318499247233,0.8212380952380952,0.822
7,0.44301133773440404,0.4523002058664958,0.823047619047619,0.816
8,0.43706209877559116,0.4467910401026408,0.8273333333333334,0.814
9,0.41540117232004803,0.45722956224282585,0.8328571428571429,0.808
10,0.4094888900121053,0.45745603998502093,0.8353333333333334,0.8193333333333334
11,0.39634005505698067,0.45781092464923856,0.8381904761904762,0.812
12,0.3852398655755179,0.4773396532535553,0.8426666666666667,0.8013333333333333
13,0.37287720498584564,0.4482438346147537,0.849047619047619,0.8126666666666666
14,0.3692785060065133,0.45116601971785225,0.8525714285714285,0.8166666666666667
15,0.363343308085487,0.43725581940015157,0.8532380952380952,0.8233333333333334
16,0.3566595199675787,0.4112444632848104,0.8574285714285714,0.8233333333333334
17,0.35438216836111885,0.44713818828264873,0.8566666666666667,0.818
18,0.34704266250701177,0.39377025576432545,0.8627619047619047,0.8293333333333334
19,0.3384239515122913,0.4055246482292811,0.8633333333333333,0.8326666666666667
20,0.3357309413637434,0.38618222777048744,0.8634285714285714,0.8293333333333334
21,0.320142511458624,0.3743514270782471,0.8683809523809524,0.836
22,0.31399817941302344,0.43277503581841786,0.8778095238095238,0.8173333333333334
23,0.3081534616379511,0.3861923015912374,0.8762857142857143,0.8453333333333334
24,0.3146993653887794,0.4172689706881841,0.8752380952380953,0.8253333333333334
25,0.2986870612189883,0.38480601330598196,0.8773333333333333,0.8333333333333334
26,0.293906160899571,0.38758866397539776,0.8832380952380953,0.848
