PC1,PC2,True_Label
-4.739043,-2.9964194,1000
-7.252955,-1.1423726,1000
-2.6437106,-2.8529744,1000
-7.0112815,-1.9656479,1000
-6.7425785,-0.8678341,1000
-7.1550727,0.5162668,1000
-3.2801619,-1.9073825,1000
-3.37789,-4.069723,1000
-1.4934847,-0.40746546,1000
-3.6364536,-0.61274195,1000
-2.746736,-3.911097,1000
-6.6918616,0.63358545,1000
-3.93931,-2.491778,1000
-8.492228,-0.40471315,1000
-3.508294,-0.47572422,1000
-6.614819,-1.3927584,1000
-7.552937,-0.25863457,1000
-3.219876,-2.7026877,1000
-0.20963798,-2.5963175,1000
-8.531971,1.1840758,1000
-4.8721957,-3.3337567,1000
1.5361679,-2.294962,1000
-3.4326303,-2.8407593,1000
-3.9900641,-3.0035005,1000
0.18374705,-3.6047373,1000
3.7616653,-3.3972607,1000
1.3345511,-4.1957855,1000
-4.775454,2.589242,1000
-7.843479,0.67640257,1000
-2.8151312,-3.1500368,1000
-4.150138,-1.596015,1000
-6.6310945,-1.1621971,1000
-4.7132955,1.4771609,1000
-6.571345,-1.8633769,1000
-3.4788768,-3.2251225,1000
-0.5487624,-2.5202186,1000
-4.636029,-2.6680315,1000
-4.2504377,-3.5902212,1000
-5.122356,-2.0995917,1000
-1.5570815,-4.467563,1000
-6.2995977,-2.5415306,1000
-6.0185122,-3.0180862,1000
-6.6774907,-2.3327131,1000
-1.3360553,-1.5432682,1000
-0.09867722,-4.631487,1000
-0.60037816,0.9322362,1000
-1.900074,-4.429112,1000
4.538676,-0.37500095,1000
1.1407659,-1.5813913,1000
2.7303736,-3.0210052,1000
-3.6291668,5.3198223,1000
-5.118149,-0.2900114,1000
-1.9293475,-2.6182659,1000
-2.6094677,-0.6988125,1000
3.7171164,3.764144,1000
-6.437734,-0.1893568,1000
-7.021827,2.7721825,1000
-1.7632864,0.03937006,1000
1.6186078,3.2073393,1000
-4.6680083,-2.0420432,1000
-5.572232,-1.9500823,1000
-4.8492703,-1.0963726,1000
-3.5191827,1.5576782,1000
-2.3481007,-1.6773934,1000
-4.536344,2.1373644,1000
-6.5243645,-1.7133689,1000
-6.4710946,-2.439826,1000
-8.206857,-1.0392303,1000
-9.339281,0.58642006,1000
-4.6995893,-2.8235445,1000
-1.441479,-4.1059027,1000
-5.0314193,-3.4555445,1000
-0.288935,-5.0791473,1000
1.7681139,-3.2115517,1000
-1.9628117,-0.8213539,1000
-5.0673947,-2.834567,1000
-6.4989743,-0.4657054,1000
-7.1314645,-1.447196,1000
-1.8745589,-4.2587523,1000
-6.4972258,-0.18060493,1000
-8.102776,0.2106638,1000
-4.283994,-3.233431,1000
4.045791,0.11177492,1000
0.14063874,-0.44602203,1000
-10.179209,5.902014,1000
-3.3404539,0.6271701,1000
-7.1290917,-2.381791,1000
-5.591361,-2.8962293,1000
-4.544043,-4.2037354,1000
-6.5866556,-2.6205654,1000
-1.734128,-4.31467,1000
-4.1444845,-3.469517,1000
-3.9597094,-3.1374989,1000
-4.9584756,-3.436203,1000
-0.5563339,-3.9180355,1000
-3.7620625,-4.1726003,1000
-1.7071149,-4.9536033,1000
-2.5066087,-4.3250685,1000
-3.2444706,-4.1221066,1000
0.10294622,-3.2091212,1000
2.3629365,-3.3240793,1000
-5.850592,-1.6918728,1000
2.4619403,-2.9812176,1000
-6.317243,-2.5988698,1000
-7.815209,-1.3769135,1000
1.7329888,-1.7175529,1000
3.8483691,-1.5462942,1000
-1.7761898,-4.4644775,1000
-7.1300926,-2.2026482,1000
-3.7050686,-3.8863924,1000
-3.3020728,-1.4202414,1000
1.5915444,-2.5124645,1000
-2.3937364,-0.21869421,1000
4.923595,-0.35149193,1000
-5.925374,-2.8136241,1000
-0.3283189,1.0226984,1000
-0.27337036,-3.0307174,1000
-3.0235498,-3.9719915,1000
-1.7836607,-4.8994627,1000
6.3648977,0.13766623,1000
1.2070446,-0.015110493,1000
-1.3299181,-0.82885647,1000
1.2711163,0.013123512,1000
-3.5097547,0.53305817,1000
-2.3658464,-0.11454201,1000
-4.358189,-2.9084582,1000
0.028789371,-4.782806,1000
-4.766442,-3.4716709,1000
-2.63802,-2.2566924,1000
-4.00802,0.55910015,1000
4.1614766,-1.4581008,1000
-0.20915858,-4.337923,1000
-2.6596794,-3.971742,1000
-2.931776,-4.489725,1000
-2.5402865,-4.9788747,1000
13.708825,3.9471197,1000
7.6011724,-0.99148226,1000
-0.64676654,-3.9617667,1000
-2.3073268,2.1151648,1000
-3.448261,-2.996724,1000
-2.7714267,1.6002812,1000
-5.5941424,-1.0287685,1000
-0.018431723,1.3614969,1000
-2.77254,-1.8446107,1000
6.1517124,2.9940977,1000
-6.5737295,-1.8597121,1000
-0.93509716,0.16273403,1000
-2.281336,-1.9937444,1000
2.2555435,-1.7749403,1000
-2.8362763,-3.9208028,1000
-5.3836174,-2.2700732,1000
4.11021,1.1341834,1000
-2.2251031,-3.1101828,1000
-1.5825715,-4.668399,1000
-2.167362,-4.205919,1000
-3.8498874,-3.4608455,1000
-1.4620578,-1.0378809,1000
-3.9025733,-3.9391005,1000
7.263656,-2.4493988,1000
-5.176213,-2.5989017,1000
-0.1811293,-3.7407298,1000
-1.5122015,-1.9303756,1000
2.1404338,-0.61581707,1000
-2.1372662,-0.93318653,1000
-2.7629702,-1.6119118,1000
-8.862676,0.5816045,1000
-2.6158752,-3.5499077,1000
-5.0636535,-2.3711276,1000
-5.7559752,3.2090073,1000
-5.5866218,4.3949575,1000
-8.10444,-1.3187265,1000
-9.006445,2.4097567,1000
-0.818966,1.9803839,1000
-8.377048,0.3891678,1000
-7.0073276,-0.43033838,1000
-5.5520687,-1.3585558,1000
-7.528881,-1.2242827,1000
-5.555123,-2.9990032,1000
1.0803032,-4.9750504,1000
-3.061633,-4.4277105,1000
0.5206065,-1.4832025,1000
0.7461136,-3.8279622,1000
3.2927198,-3.133707,1000
-1.873857,-3.6149511,1000
-2.4036503,-2.5309916,1000
-5.538833,-2.8930962,1000
-2.5890825,-2.6806755,1000
-5.9174547,2.7822218,1000
-5.039508,10.022204,1000
-6.470661,4.604992,1000
-7.11522,2.7607994,1000
