,precision,recall,f1-score,support
0,0.9559748427672956,0.912,0.9334698055271239,500.0
100,0.9738955823293173,0.97,0.9719438877755511,500.0
500,0.9158699808795411,0.958,0.9364613880742912,500.0
2000,0.9701195219123506,0.974,0.9720558882235529,500.0
accuracy,0.9535,0.9535,0.9535,0.9535
macro avg,0.9539649819721261,0.9535,0.9534827424001299,2000.0
weighted avg,0.9539649819721261,0.9535,0.9534827424001299,2000.0
