PC1,PC2,True_Label
10.791146,-7.8841295,0
34.53814,-14.103454,0
15.433957,-4.0433025,0
20.982822,-10.065644,0
5.80062,0.60903144,0
7.364564,-3.488087,0
15.321933,-7.679064,0
4.7735624,-5.1347814,0
9.164363,-7.632889,0
23.78883,-14.314619,0
18.900692,-11.623056,0
1.9271965,-1.9931804,0
8.082391,-2.0737536,0
12.758698,-5.6744337,0
-1.4525166,-2.9692402,0
7.0556974,-1.2144306,0
12.068013,-3.2059956,0
27.899872,-7.9203873,0
31.978008,-12.568274,0
9.270045,-0.71351314,0
12.639365,-3.3969474,0
9.143483,-1.2147214,0
21.605236,-4.1249394,0
16.957897,-6.568919,0
19.68414,-11.1186075,0
10.662063,-3.4667554,0
6.807452,-2.7044637,0
20.625256,-9.985498,0
-0.6637497,0.38480353,0
-3.1430693,1.7950876,0
12.334775,-7.2237625,0
9.972447,-0.3095076,0
14.47869,-6.5362034,0
12.818652,-6.725684,0
-0.8170767,4.5423107,0
8.0929,-1.7980866,0
15.840121,-4.538952,0
19.808884,4.137311,0
29.067219,3.1524332,0
8.863105,0.90553665,0
17.581951,-1.2606342,0
49.65493,7.4901037,0
14.947204,0.51491404,0
11.301204,2.4576814,0
24.100079,-2.4478588,0
19.541801,1.4661448,0
22.71555,-0.66396236,0
13.617019,-1.9756572,0
12.160943,-0.029530048,0
18.790874,3.1822813,0
19.320919,-7.4922028,0
20.799015,4.7291546,0
24.196789,-0.74415624,0
11.562324,-3.3708339,0
19.466568,-8.725627,0
14.885774,-0.45174146,0
7.9634657,1.7310026,0
13.286284,1.6060631,0
16.22794,6.129095,0
11.338162,8.087249,0
13.319795,2.1656473,0
9.5393,3.1696718,0
-3.3957577,1.858268,0
13.46396,18.989216,0
27.22556,12.709351,0
30.339859,16.747656,0
24.903233,17.03323,0
19.224651,5.235735,0
24.020603,18.02762,0
21.877789,20.85055,0
20.34348,19.32908,0
21.25494,17.768742,0
17.873024,14.872119,0
18.818619,16.497421,0
18.393684,16.459013,0
25.186512,14.015475,0
19.210983,12.702438,0
15.491309,12.6472025,0
27.026257,17.188694,0
20.019817,7.705468,0
1.4917593,-2.2490354,0
12.9950285,-2.7108626,0
10.529883,-4.391601,0
10.491134,-4.245663,0
2.9309187,2.3492095,0
10.069026,3.999161,0
10.9650545,-4.7637835,0
15.673198,-2.1452,0
6.8237753,-1.7584457,0
10.449582,-8.43207,0
19.293789,-12.883384,0
5.8504934,-7.1351376,0
14.78391,-8.782822,0
8.833394,-3.392972,0
12.860278,-8.17307,0
6.0680895,-4.4904037,0
27.612564,-15.360157,0
16.323116,-8.147435,0
18.655128,-4.416089,0
1.6946993,-2.3337288,0
21.354988,-11.193054,0
30.945621,-9.755567,0
32.57485,-11.294485,0
22.785591,-11.45279,0
8.544265,2.5199172,0
18.075878,-4.284023,0
37.588474,-8.998542,0
14.654847,-6.737753,0
26.746521,-5.3925586,0
9.401164,-6.773781,0
13.521241,-7.6574926,0
15.0013895,-2.9151027,0
11.039842,-7.4138985,0
22.77517,-9.479725,0
38.720062,-16.791063,0
9.614228,-5.724012,0
17.526112,-7.038513,0
23.936096,-17.633842,0
46.016132,-22.124851,0
3.944497,-3.517487,0
21.350178,-9.615175,0
40.941093,-20.835217,0
4.6956663,-8.75426,0
16.798248,-11.436155,0
26.495644,-11.859196,0
44.554256,-20.684341,0
24.074764,-15.767551,0
12.897517,-10.150265,0
16.619972,-12.346886,0
23.828354,-13.02763,0
39.21119,-16.116035,0
36.412918,-18.429228,0
28.833427,-18.88631,0
16.42448,-11.385509,0
13.088742,-8.293751,0
14.71934,-6.010228,0
23.06609,-16.348104,0
12.323174,-5.5030565,0
24.26986,-17.515224,0
36.301754,-19.457,0
10.020589,-9.729019,0
6.2403555,-4.863063,0
11.334462,-7.801856,0
17.790573,-11.063522,0
23.22903,-10.796143,0
24.986126,-15.311821,0
1.8105774,6.416032,0
-3.8702917,5.1069336,0
0.99455357,5.271037,0
11.331635,4.808694,0
5.845229,5.255821,0
-1.0111828,7.019392,0
5.9259367,4.9439936,0
7.0045156,4.7013865,0
-4.859911,2.3810189,0
5.634118,5.799117,0
-1.7041464,2.306918,0
-3.9925861,4.315547,0
12.403504,-0.3358915,0
4.142297,5.7187424,0
0.47254944,2.5755374,0
4.234927,2.362796,0
15.58462,10.279049,0
15.993682,7.3044567,0
15.753198,8.630135,0
7.3240595,8.952461,0
10.773877,11.682076,0
13.544072,8.38193,0
19.446781,11.074683,0
11.608117,11.407205,0
4.9384108,0.5728524,0
17.919586,-1.0448512,0
12.523324,9.412779,0
-5.2712235,2.3874238,0
10.560933,1.9716828,0
8.653363,3.7661412,0
17.123848,3.0828602,0
18.542076,9.641814,0
7.0392294,6.1690235,0
11.705581,-3.1350963,0
6.72622,-4.5322866,0
-2.5699968,-3.241054,0
-6.018741,-0.56729007,0
16.072475,-1.1140069,0
8.656762,-0.060982943,0
5.2443037,-3.4334025,0
5.766143,1.07025,0
2.3846407,-2.6422617,0
-1.3681965,-3.9489107,0
-0.38954163,0.6783695,0
2.4434776,1.1219687,0
-4.517707,-0.5082922,0
-0.1595974,2.395817,0
11.828723,4.682295,0
21.76989,-4.4481335,0
2.0081272,0.6937003,0
9.991807,2.4233296,0
10.645188,2.9322107,0
15.236186,0.6578007,0
16.17538,6.86193,0
11.269744,5.3221855,0
0.85680103,2.6146724,0
9.079043,-2.9253736,0
6.0327234,-2.442579,0
16.363163,-12.7437105,0
-1.1982346,-0.8403646,0
22.543152,-6.146793,0
3.3693743,-3.1492984,0
-3.5520277,0.30743766,0
-4.9001884,-2.5700953,0
25.058445,9.441619,0
3.153802,5.1589603,0
23.931763,8.597325,0
13.314996,0.45360208,0
12.989697,2.7047389,0
12.992955,3.4469159,0
13.33553,6.078929,0
23.372528,9.530789,0
4.747182,3.930546,0
10.498195,3.072324,0
6.746646,6.189395,0
7.8107767,-2.4325964,0
6.707532,4.091054,0
7.3092585,3.2249682,0
5.6121645,-0.3406024,0
10.267751,-1.0537028,0
12.193843,2.6543634,0
15.40264,3.0372064,0
