sample,inference_time_ms
0,6.252965000385302
1,5.645972999445803
2,5.700138000065635
3,5.369855000026291
4,5.149395000444201
5,5.093315000522125
6,4.680795000240323
7,6.137078999927326
8,5.148385999746097
9,5.231198999354092
10,5.512351999641396
11,5.366950999814435
12,5.873582999811333
13,5.313341000146465
14,5.517319999853498
15,5.116684999848076
16,5.436699000711087
17,5.6045900000754045
18,5.727679000301578
19,5.851715000062541
20,5.911618000027374
21,5.557231999773649
22,5.193738999878406
23,4.9989569997705985
24,4.8553130000073
25,4.473887999665749
26,4.522082999756094
27,4.629709999790066
28,4.9618749999353895
29,4.901427999357111
30,4.6169159995770315
31,4.5494810001400765
32,4.503213000134565
33,4.591592999531713
34,4.775673999574792
35,4.779908000273281
36,4.7436670001843595
37,4.681237999648147
38,4.568861999359797
39,4.5193880005172105
40,4.573488000460202
41,4.699996999988798
42,4.735669999718084
43,4.7328390000984655
44,4.5488780006053275
45,4.478152999581653
46,4.546477999610943
47,4.909561000204121
48,5.096722999951453
49,4.799366000042937
50,4.72114900003362
51,4.8943309993774164
52,4.507251999712025
53,4.546828000457026
54,4.577195999445394
55,4.705016999650979
56,4.71944099990651
57,4.690977999416646
58,4.834323000068252
59,4.624537000381679
60,4.6122429994284175
61,4.811284000425076
62,4.796485000042594
63,4.7227230006683385
64,4.697237000073073
65,4.784589999871969
66,4.604496999490948
67,4.536892000032822
68,4.706235000412562
69,4.74941199991008
70,4.721465999864449
71,4.6611449997726595
72,4.466313000193622
73,4.545899000731879
74,4.585311000482761
75,4.994198000531469
76,6.123969999862311
77,5.262743999992381
78,5.614864999188285
79,5.319440000675968
80,5.265396999675431
81,5.212086999563326
82,5.219181999564171
83,5.049784999755502
84,4.900585999166651
85,4.836252000131935
86,4.768171999785409
87,4.694240999924659
88,4.990452000129153
89,4.937391999192187
90,5.089259999294882
91,5.107064000185346
92,4.983378999895649
93,5.242877999990014
94,5.5310479992840555
95,5.259824999484408
96,5.059598999650916
97,4.987090999748034
98,4.981423999197432
99,4.6402850002777996
