epoch,train_loss,val_loss,train_acc,val_acc
1,1.127835412161691,0.6680453033447266,0.5505714285714286,0.821
2,0.38480532782418386,0.17787006759643556,0.8875714285714286,0.95
3,0.20182634515421732,0.12600869846343993,0.93,0.957
4,0.1571938430752073,0.10749084424972534,0.9434285714285714,0.962
5,0.14783969091943333,0.10667292261123658,0.9468571428571428,0.96
6,0.13618112274791513,0.08880783939361572,0.9491428571428572,0.967
7,0.12184175384470394,0.09278370201587677,0.9542857142857143,0.966
8,0.11217781213777406,0.08170342719554902,0.9602857142857143,0.97
9,0.10443887323992593,0.07099802958965301,0.9625714285714285,0.97
10,0.10439208057097027,0.08371192908287048,0.9631428571428572,0.965
11,0.09871787442054067,0.06454594588279725,0.9657142857142857,0.974
12,0.09231294069971357,0.06885413980484009,0.9665714285714285,0.973
13,0.0860013747215271,0.061827330946922304,0.9695714285714285,0.977
14,0.07957044733422143,0.06932188737392425,0.969,0.973
15,0.0837599938767297,0.05648617136478424,0.9687142857142857,0.978
16,0.07744997166097164,0.0682528041601181,0.9712857142857143,0.976
17,0.07286055222579411,0.05702825129032135,0.9717142857142858,0.973
18,0.07065128877333232,0.08732884311676026,0.9712857142857143,0.965
19,0.06936604210521494,0.08172722160816193,0.9745714285714285,0.967
20,0.06435570251941682,0.06757105839252472,0.9762857142857143,0.971
