,precision,recall,f1-score,support
0,0.6877729257641921,0.63,0.6576200417536534,500.0
100,0.8692449355432781,0.944,0.9050814956855225,500.0
500,0.6084656084656085,0.69,0.6466729147141518,500.0
1000,0.723404255319149,0.612,0.6630552546045504,500.0
1500,0.6110091743119266,0.666,0.6373205741626794,500.0
2000,0.9375,0.87,0.9024896265560166,500.0
accuracy,0.7353333333333333,0.7353333333333333,0.7353333333333333,0.7353333333333333
macro avg,0.7395661499006924,0.7353333333333333,0.7353733179127624,3000.0
weighted avg,0.7395661499006922,0.7353333333333333,0.7353733179127624,3000.0
