sample,cnn_time_ms
0,1.3752489976468496
1,1.1700020004354883
2,1.1498599997139536
3,1.1109219994978048
4,1.1056430012104101
5,1.0985919980157632
6,1.111754998419201
7,1.100387999031227
8,1.1078040006395895
9,1.107634998334106
10,1.1243110020586755
11,1.10313299956033
12,1.1023830011254176
13,1.1037210024369415
14,1.103594997402979
15,1.1041820034733973
16,1.0958780003420543
17,1.1063849997299258
18,1.1221069980820175
19,1.110149001760874
20,1.0983499996655155
21,1.111216999561293
22,1.1047660009353422
23,1.0953630007861648
24,1.1074319991166703
25,1.1054720016545616
26,1.102102000004379
27,1.107451997086173
28,1.1063170022680424
29,1.166699999885168
30,1.1297969977022149
31,1.1134409978694748
32,1.1002179999195505
33,1.1421229974075686
34,1.140772998041939
35,1.1445609998190776
36,1.1415979970479384
37,1.1333410002407618
38,1.1237199978495482
39,1.1446309981693048
40,1.163801996881375
41,1.1141600007249508
42,1.1396680019970518
43,1.1099990006187
44,1.1186830015503801
45,1.116093000746332
46,1.1100900010205805
47,1.1120869967271574
48,1.126089999161195
49,1.1403819989936892
50,1.1284600004728418
51,1.1103700016974472
52,1.1071410008298699
53,1.1049179993278813
54,1.1010289999831002
55,1.1139149974042084
56,1.103820999560412
57,1.1008270012098365
58,1.1217369974474423
59,1.112707999709528
60,1.1260540013608988
61,1.115186998504214
62,1.10706000123173
63,1.110689998313319
64,1.1911210021935403
65,1.156673999503255
66,1.1380100004316773
67,1.1306890010018833
68,1.0992690004059114
69,1.1067779996665195
70,1.1044610000681132
71,1.0996780001732986
72,1.097491000109585
73,1.099363998946501
74,1.098334996640915
75,1.0952260017802473
76,1.0938529994746204
77,1.1104619989055209
78,1.0956299993267749
79,1.0989209986291826
80,1.098291999369394
81,1.0955720026686322
82,1.0974119977618102
83,1.093380997190252
84,1.0939870007860009
85,1.0960709987557493
86,1.0970080002152827
87,1.112589001422748
88,1.103628001146717
89,1.107183998101391
90,1.1040440003853291
91,1.104622999264393
92,1.0998119978467003
93,1.1193219979759306
94,1.0954730023513548
95,1.0938960003841203
96,1.0906139978033025
97,1.103631999285426
98,1.0968240021611564
99,1.1007460016116966
