,precision,recall,f1-score,support
0,0.8646034816247582,0.894,0.8790560471976401,500.0
100,0.9445544554455445,0.954,0.9492537313432836,500.0
500,0.7835249042145593,0.818,0.8003913894324853,500.0
1000,0.7587064676616916,0.61,0.6762749445676275,500.0
1500,0.6440071556350626,0.72,0.6798866855524079,500.0
2000,0.9535353535353536,0.944,0.9487437185929648,500.0
accuracy,0.8233333333333334,0.8233333333333334,0.8233333333333334,0.8233333333333334
macro avg,0.8248219696861616,0.8233333333333333,0.8222677527810682,3000.0
weighted avg,0.8248219696861615,0.8233333333333334,0.822267752781068,3000.0
