feature_index,mi
322,0.8989578980750361
402,0.8948963550555393
313,0.8801886349681589
497,0.8759804062988921
255,0.8428648228784961
209,0.8302730118960364
317,0.8255952248601963
134,0.8056551663896774
508,0.78460647323333
122,0.7844664830550827
29,0.7834636205825445
341,0.7749803691738888
395,0.772738411608779
261,0.7724699220922011
12,0.7685655633927284
333,0.7645906110706666
353,0.7634919378470788
14,0.7473231229314574
506,0.7455188604109153
335,0.739370479949488
412,0.7316266007233752
433,0.7291197922051977
26,0.7265181216162633
465,0.7247741244464037
153,0.719762685251244
370,0.7178476705946297
96,0.7126076407662705
129,0.7079770744958469
305,0.7066566165983228
23,0.7045483832876362
275,0.7018320896201913
328,0.7005578874107345
7,0.699073071930691
201,0.6983566346671561
391,0.6967437512608234
42,0.6963335850560299
102,0.6930997843421305
103,0.6908343289094963
373,0.6907041797948676
283,0.6895277049328827
208,0.6844293540592132
452,0.6843352238861802
270,0.6818246864350925
10,0.6800551750767183
500,0.6790910717777425
249,0.674392764674725
159,0.6724240111539799
315,0.6623202591239288
274,0.6606402602256116
180,0.6596531100609426
228,0.6586083834476368
407,0.6567390846098471
19,0.6565457247965991
145,0.6498664296697965
272,0.6425379379446885
421,0.6344760596503578
455,0.631138213124395
425,0.6301593302900947
212,0.628933700274398
314,0.621780904141803
490,0.6195851848023053
282,0.6085521396396767
250,0.608220245768385
319,0.5984161731539124
362,0.5922164478778233
27,0.5811867544614926
195,0.5800704090588455
2,0.576180368649418
43,0.5653838922686925
504,0.5641233411403279
374,0.5582616099034761
84,0.5542033778586961
189,0.5485582170643375
375,0.5396216142554926
133,0.5317735717186358
109,0.5244934833320598
388,0.5143512960777925
50,0.5106751445723234
100,0.5086797140346926
366,0.5077756679900167
196,0.5037841845906743
99,0.4937476357454891
254,0.48840608615813297
293,0.4807672088835395
349,0.4796997560742273
332,0.47111197091761925
47,0.4686186761358515
386,0.4594417741882437
387,0.4500263161926803
462,0.445949275555503
197,0.444877360085123
438,0.4426320065438607
312,0.43782421326147647
238,0.43419038664599885
291,0.41132311952430056
61,0.408874177016052
