,precision,recall,f1-score,support
0,0.8687258687258688,0.9,0.8840864440078585,500.0
100,0.9424603174603174,0.95,0.9462151394422311,500.0
500,0.8003952569169961,0.81,0.805168986083499,500.0
1000,0.7576530612244898,0.594,0.6659192825112108,500.0
1500,0.6432246998284734,0.75,0.6925207756232687,500.0
2000,0.9496981891348089,0.944,0.9468405215646941,500.0
accuracy,0.8246666666666667,0.8246666666666667,0.8246666666666667,0.8246666666666667
macro avg,0.8270262322151591,0.8246666666666665,0.8234585248721271,3000.0
weighted avg,0.827026232215159,0.8246666666666667,0.8234585248721272,3000.0
