PC1,PC2,True_Label
9.478748,5.811803,0
34.538876,5.893099,0
12.313829,3.436889,0
20.272041,4.9078245,0
10.441923,-0.9318452,0
6.8844643,3.4960494,0
23.702362,3.9060962,0
5.8986683,2.809402,0
11.059856,2.6329746,0
21.737873,9.061834,0
19.75344,4.5105634,0
0.75761604,-3.9957013,0
7.307825,4.54633,0
3.8454685,5.1374226,0
-2.248232,-0.5879158,0
12.868206,0.2192133,0
15.478817,2.4347336,0
26.679256,4.4328556,0
39.34777,-0.21048236,0
7.5904236,-0.068035126,0
6.444214,3.202122,0
5.7262573,0.19726032,0
23.874783,1.9139223,0
18.098907,3.8629112,0
14.206318,6.756355,0
4.6163483,1.9856611,0
15.367004,1.5336262,0
21.937904,7.620735,0
-1.3612823,1.093856,0
-3.149109,1.1261636,0
11.455965,4.395522,0
16.669048,-1.4745691,0
17.87215,3.224688,0
19.305195,1.8212676,0
1.5963955,1.1798327,0
2.8232212,1.4670234,0
16.356998,3.3663678,0
23.212978,-2.4466476,0
37.120075,-7.2729015,0
13.07523,-1.4459279,0
17.761822,-0.55855167,0
69.70926,-13.195752,0
18.2104,0.57811123,0
11.280161,-0.38882828,0
19.74588,3.215523,0
13.159637,1.0364063,0
26.608433,-3.5829873,0
7.9085255,3.235637,0
20.195831,-1.1035938,0
28.465267,-2.4378073,0
10.6422615,4.040561,0
25.96099,-1.1479089,0
18.650532,-3.7216954,0
16.729618,-1.780901,0
11.913458,4.192523,0
12.630493,1.7065129,0
14.756107,-0.09283149,0
19.658398,-2.435106,0
23.592304,-1.2011538,0
20.088741,-3.0996952,0
19.69962,0.23040348,0
15.64835,2.6409812,0
-1.7245522,2.908398,0
51.010906,-16.139439,0
56.167286,-11.721495,0
52.234737,-9.001619,0
56.137554,-13.946785,0
27.176155,-4.3832874,0
64.8949,-17.44722,0
50.151516,-14.354808,0
48.639324,-12.464647,0
51.529568,-15.186814,0
32.895897,-8.957699,0
46.998844,-11.696158,0
35.895527,-10.039899,0
37.873398,-9.680351,0
31.200314,-8.548494,0
25.060638,-6.469342,0
39.82623,-10.458486,0
24.174469,-3.7047195,0
9.128086,5.7188134,0
16.558712,2.578759,0
22.664696,3.6703274,0
20.806004,5.3158417,0
8.667707,1.5134294,0
13.741016,-1.430742,0
8.71706,4.473068,0
12.891151,3.0202072,0
5.406439,4.3242955,0
10.665951,6.862086,0
23.364063,5.372296,0
5.816984,7.343486,0
10.206963,5.3042107,0
14.722534,3.6610708,0
15.544392,6.6371303,0
1.8374386,4.993826,0
21.899288,12.027008,0
12.702831,2.7848506,0
19.279713,6.9249406,0
2.4141197,4.1773148,0
8.568399,3.7076778,0
23.372036,4.9515333,0
31.285904,9.692351,0
22.52538,6.9744134,0
12.084024,0.44392538,0
19.12613,1.9594265,0
16.050999,2.082662,0
10.801266,6.7315154,0
20.089176,6.085893,0
14.057987,6.116289,0
12.100544,5.8581495,0
10.412046,3.6750765,0
7.3419476,5.7198696,0
18.444195,7.4345646,0
30.237728,11.107284,0
4.140808,3.8776546,0
12.543413,3.6952043,0
19.325726,12.512756,0
36.251637,12.278625,0
-1.076889,2.8294616,0
18.89568,4.36617,0
49.56883,16.7026,0
1.2898312,7.4477935,0
14.170868,8.108789,0
19.596085,8.697849,0
51.794437,17.98925,0
15.114296,9.552309,0
8.256943,8.457167,0
9.417931,8.478636,0
26.190128,10.875766,0
29.666836,7.5148816,0
41.054287,14.13289,0
22.036175,11.252614,0
17.4314,4.954074,0
11.422403,5.552141,0
19.421783,7.495146,0
30.663788,11.493865,0
8.177422,4.8560896,0
19.595547,9.450801,0
41.755386,14.46528,0
2.2747097,5.7322564,0
9.964756,5.438884,0
8.028521,5.754242,0
25.098213,12.968409,0
11.951805,7.6280174,0
24.159035,5.0248384,0
-5.6844044,-0.6329545,0
-5.8027515,-1.6256113,0
-5.9108267,1.6804204,0
12.424353,-0.56509995,0
-2.9488487,-0.051393986,0
-4.2084913,-0.8455676,0
-4.9137115,0.93935513,0
-6.858367,-0.19006395,0
-12.526676,-1.5166857,0
-1.802681,2.4543424,0
-11.124984,0.4123476,0
-9.499507,1.4120648,0
10.263889,0.852829,0
-0.42027855,-1.0417864,0
-7.1343164,3.1790373,0
-3.4132776,2.6777675,0
25.957302,-5.568882,0
25.507317,-4.3574467,0
19.425095,-2.163142,0
14.310619,-6.1316967,0
15.170059,-4.634025,0
20.335678,-4.391715,0
21.419144,-4.295545,0
13.409481,-4.604033,0
20.892742,5.216622,0
14.753807,1.5619317,0
19.20314,0.20443213,0
-6.6175365,-0.35009384,0
4.1397285,-1.8044295,0
13.51218,1.6351368,0
17.009762,0.45828962,0
20.34195,-0.22673666,0
5.0658894,0.24117118,0
13.815315,4.205037,0
7.5576477,4.467657,0
-8.531476,3.124995,0
-16.803505,1.8851132,0
17.690548,3.9095685,0
13.840702,3.949269,0
2.4088879,6.0368485,0
2.5042553,1.5822442,0
6.107113,6.136638,0
1.7162094,5.087458,0
-3.2139778,-0.8111087,0
2.0363655,1.3757163,0
-4.6622133,2.74055,0
-0.6188946,0.95293456,0
20.167992,0.21494967,0
17.20116,5.070801,0
2.1626034,0.8520753,0
10.851679,-0.6500478,0
13.246536,0.10003781,0
14.80574,-0.50824535,0
27.262508,-2.2971177,0
16.54581,-2.1301513,0
-3.7695866,-0.100333095,0
12.461554,4.7887144,0
11.147467,3.9698558,0
15.481728,7.618981,0
-9.995532,1.8307569,0
19.611649,3.3518393,0
5.5667686,8.401375,0
-9.192901,1.6151665,0
-11.044206,4.843997,0
35.63484,-3.9511518,0
3.002617,-3.1531038,0
33.6812,-2.2271233,0
18.60793,2.4772787,0
14.706486,-0.7390419,0
24.94043,-1.8872371,0
17.879772,-3.5693707,0
25.91518,-2.32909,0
5.827839,3.3422983,0
16.925873,0.34734422,0
1.0259018,-2.6300428,0
11.459759,2.377357,0
5.9263115,2.4550505,0
10.427921,1.8528452,0
9.550457,3.114652,0
-2.4187698,2.6981802,0
11.664721,-0.77586293,0
25.774132,-2.1406267,0
13.65427,0.25313836,0
18.13514,-2.540337,0
27.660892,-3.823886,0
16.374699,-0.36931467,0
25.653698,-5.1000137,0
18.901634,-0.7128298,0
21.878075,-0.36488092,0
34.159378,2.949739,0
22.918346,2.6992,0
11.28413,0.9777788,0
15.163971,3.9480715,0
16.331398,4.751356,0
28.955952,0.35131502,0
50.61887,-4.560047,0
30.622921,-1.786916,0
8.807585,-1.2664988,0
33.43277,-5.604867,0
23.422802,-1.8836923,0
30.989033,-3.7662725,0
19.842766,-1.1727853,0
61.62768,-8.911076,0
26.137302,-3.380105,0
33.44226,-4.057691,0
37.94181,-6.29017,0
25.885166,-3.9564447,0
31.025787,-6.9950924,0
18.50777,2.6732187,0
22.188736,-5.6796427,0
12.946259,-1.4432788,0
4.6024227,-1.0628564,0
12.661808,1.9837437,0
32.400932,-4.5341797,0
30.897213,-5.4385066,0
25.42767,0.91708004,0
22.512653,0.38439643,0
25.101265,-0.9695542,0
31.702183,1.5282614,0
8.032789,0.1118412,0
14.664032,3.7816305,0
14.303268,1.6406237,0
8.692944,2.2583122,0
26.1652,-0.55348384,0
12.724316,2.4097958,0
11.05761,-0.11448288,0
12.170706,2.8314915,0
21.003265,0.02696681,0
26.14986,-3.2416048,0
28.789978,1.7065139,0
45.834255,-5.1373982,0
11.98761,4.684571,0
