sample,inference_time_ms
0,6.855060999896523
1,5.825851000281546
2,6.890561000091111
3,5.758112999956211
4,9.343064999939088
5,8.44481200010705
6,8.486834999985149
7,8.344909000243206
8,8.620462999715528
9,6.630707000113034
10,7.370983000328124
11,5.529956999907881
12,5.581976000030409
13,5.326378000063414
14,5.054670999925293
15,5.629090000184078
16,5.1197709999541985
17,5.022755000027246
18,5.492175999734172
19,5.331868999746803
20,5.062534999979107
21,6.165540999973018
22,5.226879000019835
23,5.004635000204871
24,5.686179999884189
25,5.686355999841908
26,5.130886999722861
27,5.864397000095778
28,5.020016999878862
29,5.276214999867079
30,5.127613000240672
31,4.952579000018886
32,4.781618999913917
33,5.439598000066326
34,4.865394000262313
35,4.860333000124228
36,5.801261000215163
37,4.892616000233829
38,4.8664680002730165
39,5.7156069997290615
40,6.043813999895065
41,4.964722999829974
42,5.648378999921988
43,6.351815000016359
44,5.10578000012174
45,5.879829000150494
46,5.584509000073012
47,5.29810499983796
48,5.249511999863898
49,5.466340000111813
50,5.450633000236849
51,5.582681999840133
52,5.4587680001532135
53,5.5405070002052526
54,5.494471000019985
55,5.313994000061939
56,6.145344999822555
57,6.041618999915954
58,6.042121000064071
59,5.651791000218509
60,5.486236000251665
61,5.934226000135823
62,5.601261999800045
63,5.314556000030279
64,4.87174900035825
65,5.69257999995898
66,5.18218400020487
67,4.804523000075278
68,5.383521000112523
69,5.62294200017277
70,4.851689000133774
71,5.748059999859834
72,4.8574920001556166
73,4.810339999949065
74,5.827457999657781
75,4.879151999830356
76,5.714212999919255
77,4.937772000175755
78,4.831888000353501
79,5.553305999910663
80,4.952842999955465
81,4.794184000274981
82,4.768877000060456
83,5.162480000308278
84,5.2216580002095725
85,4.798028000095655
86,5.618368999876111
87,4.803717999948276
88,4.822730999876512
89,6.359842000165372
90,4.89103099971544
91,4.856332000144903
92,6.037042000116344
93,5.009304999930464
94,4.847165999763092
95,5.315159000019776
96,4.930299999614363
97,4.815296000288072
98,4.760971999985486
99,5.3022880001663
