,precision,recall,f1-score,support
0,0.970917225950783,0.868,0.9165786694825766,500.0
100,0.9775967413441955,0.96,0.9687184661957619,500.0
500,0.7623762376237624,0.924,0.8354430379746836,500.0
1000,0.7665198237885462,0.696,0.7295597484276729,500.0
1500,0.7241379310344828,0.714,0.7190332326283988,500.0
2000,0.9607072691552063,0.978,0.9692765113974232,500.0
accuracy,0.8566666666666667,0.8566666666666667,0.8566666666666667,0.8566666666666667
macro avg,0.8603758714828293,0.8566666666666665,0.856434944351086,3000.0
weighted avg,0.8603758714828293,0.8566666666666667,0.8564349443510861,3000.0
