epoch,train_loss,val_loss,train_acc,val_acc
1,1.4366513155982608,0.8823219238917033,0.4743809523809524,0.7366666666666667
2,0.6865474508376349,0.6074121553897858,0.7461904761904762,0.7546666666666667
3,0.5471718425750732,0.5033989493846893,0.7801904761904762,0.788
4,0.49747949554806664,0.4922695985237757,0.8016190476190476,0.7773333333333333
5,0.4655065489269438,0.4519688639243444,0.8082857142857143,0.802
6,0.4500033354532151,0.41942451242605844,0.818,0.82
7,0.42919640354883104,0.39305641333262126,0.826,0.824
8,0.42107078733898345,0.4107333356539408,0.8258095238095238,0.8193333333333334
9,0.41970161510649184,0.43969382178783417,0.8296190476190476,0.8026666666666666
10,0.4061801949909755,0.38158795921007793,0.8351428571428572,0.826
11,0.394342181523641,0.4032516232728958,0.8388571428571429,0.82
12,0.3911323996044341,0.3874026869138082,0.838,0.828
13,0.3813186639604114,0.33885371148586274,0.844,0.852
14,0.37183818608238584,0.35660002640883126,0.8457142857142858,0.836
15,0.35268171941666376,0.3780187779267629,0.8545714285714285,0.8313333333333334
16,0.3548542161214919,0.38583222208420437,0.8546666666666667,0.8306666666666667
17,0.34041862871533346,0.34246305497487384,0.8624761904761905,0.8486666666666667
18,0.33111825602395195,0.37742439889907836,0.8667619047619047,0.8373333333333334
19,0.3323435460499355,0.3377901732126872,0.8608571428571429,0.8573333333333333
20,0.31900347244171867,0.3722298362652461,0.8711428571428571,0.8466666666666667
21,0.3139916202227275,0.40182661163806915,0.87,0.83
22,0.3110580316498166,0.33112638382116955,0.8734285714285714,0.86
23,0.30689573090417044,0.3576442017356555,0.8748571428571429,0.8486666666666667
24,0.2985014096441723,0.36532426037391025,0.8828571428571429,0.8446666666666667
25,0.2945416714804513,0.36758651566505435,0.8804761904761905,0.852
26,0.29259207770937967,0.36709104690949124,0.8834285714285715,0.85
27,0.2770705942085811,0.3648845571279526,0.8882857142857142,0.8593333333333333
