PC1,PC2,True_Label
-7.4530983,3.5567951,0
-8.255019,5.174026,0
-8.507203,4.335753,0
-8.685936,5.880132,0
-7.780396,3.9268548,0
-8.676466,5.0783877,0
-8.409454,5.196946,0
-4.6945434,0.31180316,0
-8.482124,5.219017,0
-9.595166,7.02199,0
-8.591366,6.2871337,0
-5.6649203,-5.077967,0
-7.2965293,2.4700134,0
-9.168607,6.295041,0
0.31666744,-3.660587,0
-6.891213,2.3880005,0
-7.127059,3.6361756,0
-8.923384,5.789962,0
-7.7204747,4.723977,0
-6.6417727,1.4890094,0
-8.402418,5.955059,0
-6.318212,0.19780691,0
-9.218497,6.661197,0
-9.158435,6.1469607,0
-7.535708,3.8538587,0
-8.791522,2.7799704,0
-6.410816,-0.06799436,0
-12.08427,11.525563,0
-7.6244936,1.6864346,0
-5.695423,-1.1062307,0
-8.861785,4.5378633,0
-7.427007,1.1957567,0
-8.824938,5.2888765,0
-6.987994,1.5825855,0
-4.131478,-2.7605517,0
-7.4139004,2.264198,0
-8.382274,3.4677014,0
-8.880496,5.1172924,0
-10.656233,6.9690714,0
-7.4959483,2.9240355,0
-8.338481,3.9861553,0
-12.163157,9.9684,0
-7.142006,1.508621,0
-6.380606,-0.19617423,0
-9.038074,6.552135,0
-10.136319,6.506105,0
-8.3247175,4.3050404,0
-7.5384626,3.1986055,0
-7.309997,4.444541,0
-7.740323,2.9717143,0
-10.951707,8.9305315,0
-8.297053,2.5840635,0
-8.886333,3.7704089,0
-5.303284,1.3292763,0
-11.119774,8.995396,0
-7.7931395,2.2379231,0
-8.186961,5.004327,0
-6.81121,-2.0642326,0
-9.386089,4.5005727,0
-8.970221,4.970749,0
-8.852122,5.104836,0
-6.418143,1.2366426,0
-3.7078245,0.4553038,0
-4.599267,-3.351711,0
-7.158537,0.8817602,0
-9.828807,5.5525193,0
-8.621927,2.5640526,0
-8.239163,3.5992367,0
-8.26533,2.2232666,0
-8.241836,2.3482137,0
-8.5464325,1.624329,0
-9.482536,3.420768,0
-6.995388,-2.0592787,0
-7.416752,0.106674924,0
-8.878741,2.8583434,0
-9.6887045,3.9269652,0
-8.9717655,1.9569764,0
-7.5723205,2.4181294,0
-10.335399,5.541326,0
-11.248038,8.743269,0
-8.697962,6.483541,0
-9.351392,6.293962,0
-7.92654,4.0558176,0
-8.539502,5.50405,0
-7.508098,1.2613653,0
-8.530432,2.693474,0
-8.801917,5.654271,0
-10.119122,8.740071,0
-7.931386,5.061503,0
-7.8116603,4.844899,0
-7.622914,4.977443,0
-2.8660982,0.9432351,0
-5.353787,3.2513092,0
-5.907189,0.8518652,0
-5.534688,2.4155114,0
-5.967876,2.692705,0
-9.561213,7.6636515,0
-7.682551,5.281072,0
-9.203847,6.36027,0
-5.667263,1.7419294,0
-9.681925,7.390181,0
-9.806186,8.956425,0
-12.582413,11.905841,0
-11.503805,10.08522,0
-8.611193,3.3097696,0
-8.480156,4.3964663,0
-12.310363,10.447977,0
-9.161475,5.2584,0
-11.940336,11.3588085,0
-8.651534,3.3296993,0
-11.07828,8.976998,0
-9.484444,5.4889417,0
-8.170665,4.372638,0
-12.701721,12.179408,0
-11.124548,10.075398,0
-6.5390463,0.5593732,0
-9.772595,5.366868,0
-8.436263,9.087058,0
-12.024809,12.113045,0
-8.257416,4.786298,0
-8.223813,6.1731067,0
-12.229502,11.259942,0
-8.692168,6.6812425,0
-9.962321,6.98246,0
-9.6824,6.903964,0
-14.816545,15.028053,0
-8.093877,6.5350075,0
-4.86924,5.381482,0
-6.74031,5.88022,0
-12.859576,12.116328,0
-10.955461,8.77824,0
-14.009977,14.336879,0
-10.117989,9.315062,0
-7.836108,3.142897,0
-9.066935,4.461566,0
-11.768308,10.715257,0
-10.07942,7.9927316,0
-9.21778,6.789915,0
-8.779041,6.6648545,0
-10.679385,9.170587,0
-4.5828404,3.8500893,0
-7.967388,2.7299638,0
-7.9943185,3.1336093,0
-9.758806,7.9357686,0
-11.157775,9.866474,0
-9.236027,7.7206078,0
-7.8635273,1.0558918,0
-6.7278647,-1.597863,0
-5.926283,-1.7467589,0
-9.758922,5.434385,0
-9.665692,4.2308383,0
-8.040733,1.2463009,0
-9.044542,4.301143,0
-7.179876,-2.2278655,0
-5.265915,-4.249353,0
-7.257375,0.3518794,0
-5.966717,-1.4886895,0
-6.6308684,1.3498801,0
-8.885227,5.111402,0
-7.993683,0.7911035,0
-5.458413,-0.17676225,0
-6.569475,1.0282164,0
-8.989337,3.8933914,0
-11.658151,8.170117,0
-8.049877,1.9631318,0
-6.9505644,-1.9930494,0
-8.472498,2.0469782,0
-8.013535,2.8206608,0
-10.962818,7.1422195,0
-8.420155,0.5128348,0
-6.843353,4.357688,0
-9.187903,4.964423,0
-9.020292,5.2123175,0
-5.5622683,-0.4160089,0
-8.648999,4.2212653,0
-7.6891026,3.304968,0
-10.328648,7.388427,0
-8.361479,2.4077187,0
-7.852252,2.2854125,0
-7.630227,3.7672217,0
-5.265875,1.984487,0
-2.9665465,1.8004524,0
-0.13479176,-0.32795352,0
-8.834287,6.817966,0
-8.349598,5.756415,0
-7.293141,3.1261559,0
-8.481248,4.5530825,0
-8.672225,6.0378976,0
-5.7624803,-0.6391464,0
-5.7541375,-5.9696627,0
-7.939627,2.199944,0
-4.2006946,-1.9007869,0
-5.8111234,1.4555743,0
-7.217507,3.689724,0
-10.906573,9.177043,0
-2.5869036,-0.7261561,0
-8.306079,3.3862479,0
-7.21984,2.6198082,0
-7.1820173,1.4305652,0
-7.917079,4.9394455,0
-6.547572,0.5972232,0
-3.7235985,-2.5542934,0
-7.3606634,3.68701,0
-3.1136463,1.7095232,0
-7.279419,3.9497385,0
-4.001309,0.9389233,0
-7.217645,4.729722,0
-4.9587207,2.988035,0
0.21765637,1.0147036,0
-1.6593968,2.7146058,0
-9.659286,4.570701,0
-6.7386928,-1.0259485,0
-12.579072,11.311294,0
-7.790393,3.0127807,0
-8.319846,4.226564,0
-8.44555,3.7653503,0
-8.204903,1.6680837,0
-9.276095,5.694686,0
-7.1220093,4.5045877,0
-9.774878,7.0673943,0
-9.088932,0.96229327,0
-9.5834875,6.597338,0
-7.29649,2.3351555,0
-8.992086,5.6902356,0
-6.554054,3.1795652,0
-7.028691,1.4948258,0
-7.419803,2.3874621,0
-7.8572893,2.9737263,0
-7.55498,1.4268794,0
-7.151003,1.8984362,0
-6.5562873,0.009179641,0
-8.317707,4.2737355,0
-7.6827836,2.907643,0
-8.973309,6.874596,0
-8.1328745,3.6781306,0
-10.948185,8.032751,0
-9.397477,5.4072604,0
-7.4147735,2.057321,0
-9.359171,5.2550607,0
-9.233628,6.3048625,0
-8.667087,6.6803656,0
-9.714654,6.266568,0
-12.298829,10.793533,0
-6.9200034,-1.7743403,0
-8.12721,3.6576715,0
-10.034373,6.527277,0
-9.560223,5.726119,0
-9.008234,5.8134365,0
-9.17402,4.0662813,0
-8.417722,0.975584,0
-8.876321,3.360993,0
-12.405341,9.197084,0
-9.59944,5.815168,0
-11.316953,7.360905,0
-8.894286,4.1101756,0
-10.440548,5.8820453,0
-8.364711,4.018888,0
-6.4193516,1.0316811,0
-8.648742,3.4797506,0
-9.104197,6.0451865,0
-9.434959,5.0042,0
-10.56873,7.8090343,0
-9.18784,5.853313,0
-6.784378,-0.54060537,0
-8.391115,4.974021,0
-8.3344145,3.3157408,0
-9.701057,6.893138,0
-9.015514,4.574127,0
-7.762074,2.6421435,0
-8.776289,5.4132376,0
-7.8329315,3.2605252,0
-8.259655,3.5741742,0
-7.3461394,3.135795,0
-7.7010503,2.9756858,0
-7.2285085,1.88734,0
-7.8328633,5.3940644,0
-11.698187,10.04992,0
-7.628303,2.0976143,0
-4.4163327,-5.3456717,0
-8.955248,5.4941206,0
-7.677158,3.717308,0
-8.90236,5.3134084,0
-6.0223327,-1.4451792,0
-8.898511,5.6598663,0
-8.134446,5.7943277,0
-9.817555,6.3071814,0
-6.451098,2.3720527,0
-6.7866735,1.1814054,0
-5.283301,4.3481145,0
3.0083575,-0.97003806,0
-8.549478,7.331871,0
-7.6182947,3.7558503,0
-7.905171,5.4345865,0
-3.6187859,3.3916311,0
-9.003762,3.9037657,0
-10.361802,7.0248837,0
-8.340884,4.58349,0
-10.457392,8.284293,0
-12.850945,13.564022,0
-12.469336,12.01861,0
-7.598583,6.8806624,0
-5.8473372,0.8053285,0
-12.33002,11.703153,0
-9.007136,7.986121,0
-11.35171,10.155257,0
-10.12604,6.0364337,0
-9.746872,5.812164,0
-8.041342,1.3236636,0
-8.618155,3.1305542,0
-13.446537,14.6239605,0
-10.461628,8.347235,0
-4.8707085,-3.6319828,0
-9.4407625,5.9378414,0
-11.86824,10.647155,0
-6.309849,1.0205438,0
-7.979045,3.9670703,0
-12.079734,11.241184,0
-9.559306,5.423793,0
-9.427206,5.68575,0
-9.129326,5.8050857,0
-9.862457,7.20561,0
-12.645301,11.749728,0
-12.254642,11.408951,0
-12.110653,8.754243,0
-12.894671,12.177139,0
-11.1168,10.387296,0
-11.416269,9.765681,0
-7.6637235,2.5076256,0
-11.466312,9.942264,0
-7.770443,3.7989926,0
-7.94498,5.7820807,0
-8.574067,5.072466,0
-9.328825,7.846386,0
-8.232584,5.1499114,0
-5.239287,-3.031901,0
-5.1366696,3.1715128,0
-8.7589,7.050511,0
-9.808778,7.8532186,0
-7.064343,2.9353971,0
-6.724735,7.50177,0
