feature_index,mi
102,0.8150729421326657
30,0.80883073982461
80,0.8057068158224534
69,0.8055526336782264
70,0.8049422506476438
64,0.8037149883898227
118,0.7989751759682997
27,0.7687383338740486
39,0.7680744732786982
116,0.7654335023935039
12,0.7613465940380331
62,0.7568487236577168
66,0.7403341884082886
26,0.7321019137152067
45,0.7299914169681347
67,0.7210134984585053
112,0.7082714127439256
119,0.7081645520946696
109,0.7073742231544959
76,0.7065388308123661
32,0.6963617451655773
72,0.6916446235538345
36,0.6883327761006295
31,0.688185143825478
24,0.6734205014116834
42,0.3226960722325778
17,0.2845250954873766
7,0.19638630180545436
13,0.18915536126007648
113,0.009037540157423862
53,0.007643285102219011
20,0.00669889048355321
