,precision,recall,f1-score,support
0,0.49072753209700426,0.688,0.5728559533721899,500.0
100,0.8546845124282982,0.894,0.873900293255132,500.0
500,0.36890243902439024,0.242,0.2922705314009662,500.0
1000,0.6198347107438017,0.6,0.6097560975609756,500.0
1500,0.49588477366255146,0.482,0.48884381338742394,500.0
2000,0.8891213389121339,0.85,0.869120654396728,500.0
accuracy,0.626,0.626,0.626,0.626
macro avg,0.6198592178113633,0.626,0.6177912238955693,3000.0
weighted avg,0.6198592178113633,0.626,0.6177912238955692,3000.0
