epoch,train_loss,val_loss,train_acc,val_acc
1,1.1505484357561384,0.6434605865478515,0.5652857142857143,0.84
2,0.36707515934535434,0.18790505599975585,0.8974285714285715,0.938
3,0.2095895038843155,0.13501961278915406,0.9248571428571428,0.956
4,0.16469803879942213,0.11244569420814514,0.9404285714285714,0.958
5,0.15228684790645328,0.11114726150035859,0.943,0.961
6,0.13865447092269148,0.11019568479061127,0.951,0.964
7,0.12784871823447091,0.11853430593013764,0.9531428571428572,0.957
8,0.11380729287224156,0.09235974264144897,0.9594285714285714,0.965
9,0.11351944121292659,0.09441252779960632,0.9594285714285714,0.964
10,0.11028494192872729,0.08739308321475983,0.9605714285714285,0.972
11,0.10829260308401925,0.08208610093593598,0.9627142857142857,0.971
12,0.10033117423738752,0.07757086157798768,0.9642857142857143,0.973
13,0.09133449020130294,0.07317048084735871,0.9678571428571429,0.977
14,0.08360627281665801,0.09489290177822113,0.9671428571428572,0.969
15,0.0903623788016183,0.07234081149101257,0.966,0.974
16,0.0809516028378691,0.08214025235176087,0.9707142857142858,0.975
17,0.07802361689295087,0.0753733344078064,0.9712857142857143,0.977
18,0.07795115379776274,0.08322444021701812,0.9698571428571429,0.971
19,0.0725665988624096,0.07959091770648956,0.973,0.977
20,0.06987505641153881,0.07823488175868988,0.9741428571428571,0.975
