,precision,recall,f1-score,support
0,0.46523388116308473,0.736,0.5701006971340047,500.0
100,0.8603238866396761,0.85,0.8551307847082495,500.0
500,0.43352601156069365,0.15,0.22288261515601784,500.0
1000,0.6717557251908397,0.528,0.5912653975363942,500.0
1500,0.45085803432137284,0.578,0.5065731814198072,500.0
2000,0.860236220472441,0.874,0.8670634920634921,500.0
accuracy,0.6193333333333333,0.6193333333333333,0.6193333333333333,0.6193333333333333
macro avg,0.6236556265580179,0.6193333333333333,0.6021693613363276,3000.0
weighted avg,0.623655626558018,0.6193333333333333,0.6021693613363276,3000.0
