,precision,recall,f1-score,support
0,0.46875,0.72,0.5678233438485805,500.0
100,0.8446601941747572,0.87,0.8571428571428571,500.0
500,0.37735849056603776,0.12,0.18209408194233687,500.0
1000,0.5478547854785478,0.664,0.6003616636528029,500.0
1500,0.4827586206896552,0.448,0.46473029045643155,500.0
2000,0.875,0.854,0.8643724696356275,500.0
accuracy,0.6126666666666667,0.6126666666666667,0.6126666666666667,0.6126666666666667
macro avg,0.5993970151514997,0.6126666666666667,0.5894207844464394,3000.0
weighted avg,0.5993970151514997,0.6126666666666667,0.5894207844464394,3000.0
