feature_index,mi
80,0.7381723538948435
68,0.7340931975165796
111,0.7330925409607589
122,0.7319996494240961
107,0.7307450053530629
117,0.7299598303010157
96,0.725377392644601
113,0.723914426684789
31,0.7238281317600204
25,0.7236575673613865
66,0.7217623799046116
85,0.7202298768275273
34,0.7200017472494729
33,0.7177892322238366
121,0.7110666220913306
5,0.6957191640090641
123,0.6953884049127486
30,0.6936881319259465
106,0.6891062967462847
75,0.6794654776388245
65,0.6656005370584692
37,0.6646228351531924
44,0.581080749559642
15,0.570125327798495
83,0.2942773731275068
71,0.2886939603933403
4,0.21899863158865118
70,0.20246563147485697
38,0.012552831018147526
115,0.010845236640632194
19,0.010409986044586539
59,0.007260873162050707
