sample,cnn_time_ms
0,0.8711669979675207
1,0.658919001580216
2,0.5820029982714914
3,0.7422499984386377
4,0.7805509994796012
5,0.7620319993293379
6,0.848544998007128
7,0.7633389977854677
8,0.708372001099633
9,0.7135579980968032
10,0.7308189997274894
11,0.5669199999829289
12,0.5063240023446269
13,0.6066509995434899
14,0.5553579976549372
15,0.5602359997283202
16,0.533816000825027
17,0.5295160008245148
18,0.5247440021776129
19,0.6013379970681854
20,0.6237550005607773
21,0.5228199988778215
22,0.506598997162655
23,0.599401999352267
24,0.5684550014848355
25,0.5361180010368116
26,0.4954149990226142
27,0.6378960024449043
28,0.5781820000265725
29,0.4715940012829378
30,0.5780599967692979
31,0.6294659979175776
32,0.5149230019014794
33,0.5316480019246228
34,0.6033499994373415
35,0.5796000004920643
36,0.5215430028329138
37,0.4880820015387144
38,0.6070489980629645
39,0.5795329998363741
40,0.5327549988578539
41,0.6064340013836045
42,0.5421129972091876
43,0.5110849997436162
44,0.522802998602856
45,0.5358580019674264
46,0.540601002285257
47,0.508846998855006
48,0.5084620024717879
49,0.5870370005141012
50,0.5542619983316399
51,0.5017740004404914
52,0.48884100033319555
53,0.5594219983322546
54,0.5393069986894261
55,0.47982500109355897
56,0.5276929987303447
57,0.5892640001547989
58,0.5395630032580812
59,0.5088830002932809
60,0.5502179992618039
61,0.7600349999847822
62,0.5977540022286121
63,0.5087889985588845
64,0.5606960003206041
65,0.5085660013719462
66,0.45492199933505617
67,0.49820200001704507
68,0.5505350018211175
69,0.5045609977969434
70,0.5105190030008089
71,0.5001269964850508
72,0.534202998096589
73,0.5449749987747055
74,0.6158109972602688
75,0.6199180024850648
76,0.5970839993096888
77,0.52283400145825
78,0.48330400022678077
79,0.5292399982863571
80,0.518986998940818
81,0.5200469968258403
82,0.5030969987274148
83,0.597263002418913
84,0.5470910000440199
85,0.5099709997011814
86,0.49683399993227795
87,0.5930619990976993
88,0.5529800000658724
89,0.4730239998025354
90,0.6358329992508516
91,0.48505400263820775
92,0.42858000233536586
93,0.42537699846434407
94,0.4446659986570012
95,0.5198789986025076
96,0.4688640001404565
97,0.4345800007286016
98,0.4261110007064417
99,0.4621740008587949
