sample,svm_time_ms
0,0.6239690010261256
1,0.5836650016135536
2,0.5527789980988018
3,0.49802700232248753
4,0.4827410011785105
5,0.49248999857809395
6,0.45772000157739967
7,0.47608000022592023
8,0.4730950022349134
9,0.4903679982817266
10,0.460647999716457
11,0.47105399789870717
12,0.45155000043450855
13,0.45568700079456903
14,0.47538299986626953
15,0.4604659989126958
16,0.4858309985138476
17,0.4968710018147249
18,0.4680009988078382
19,0.4798859990842175
20,0.5019490017730277
21,0.5588819985860027
22,0.6007949996273965
23,0.5598339994321577
24,0.5401919988798909
25,0.5504830005520489
26,0.5299420008668676
27,0.6510540006274823
28,0.6439030003093649
29,0.5514870026672725
30,0.5053630011389032
31,0.5054020002717152
32,0.5020380012865644
33,0.47223499859683216
34,0.4810069985978771
35,0.4851930025324691
36,0.5154660029802471
37,0.48996700206771493
38,0.4754530018544756
39,0.4907180009467993
40,0.48207199870375916
41,0.5173300014575943
42,0.5643730000883806
43,0.6499030023405794
44,0.5903340024815407
45,0.6394890006049536
46,0.7821479994163383
47,0.7291039983101655
48,0.6375810007739346
49,0.5153249985596631
50,0.4983670005458407
51,0.49195699830306694
52,0.5167110030015465
53,0.5129219971422572
54,0.5074120017525274
55,0.49263599794358015
56,0.5034710011386778
57,0.4946039989590645
58,0.4974980001861695
59,0.48325100215151906
60,0.5023199992137961
61,0.48670300020603463
62,0.5049399987910874
63,0.49176299944519997
64,0.49728000158211216
65,0.48840700037544593
66,0.5050430008850526
67,0.5854910014022607
68,0.5215679993852973
69,0.4898210027022287
70,0.4900919993815478
71,0.5017059993406292
72,0.492982999276137
73,0.5125110001245048
74,0.520278001204133
75,0.49378900075680576
76,0.4922929983877111
77,0.4889629999524914
78,0.49428499914938584
79,0.49015599870472215
80,0.5102979994262569
81,0.5346039979485795
82,0.5193979995965492
83,0.49721899995347485
84,0.5068809987278655
85,0.4971230009687133
86,0.49007300185621716
87,0.4909090021101292
88,0.502208000398241
89,0.5049999999755528
90,0.5076790002931375
91,0.5491280026035383
92,0.5171479970158543
93,0.5043720011599362
94,0.5529299996851478
95,0.5394069994508754
96,0.5102140021335799
97,0.511623002239503
98,0.5664750024152454
99,0.5175999976927415
