,0,100,500,1000,1500,2000
0,0.0,5.928320539518527,1.0378006060609863,2.661975559068014,3.126668952965383,7.297929659188348
100,5.928320539518527,0.0,6.219583206725639,5.861108056632584,7.609687637552203,4.337896345954567
500,1.0378006060609863,6.219583206725639,0.0,1.432641205783659,1.5602172691819154,7.436034474575762
1000,2.661975559068014,5.861108056632584,1.432641205783659,0.0,0.23935992595892938,5.369235931344866
1500,3.126668952965383,7.609687637552203,1.5602172691819154,0.23935992595892938,0.0,8.397118768550492
2000,7.297929659188348,4.337896345954567,7.436034474575762,5.369235931344866,8.397118768550492,0.0
